taxon,strain,accession,
Streptomyces rubiginosohelvolus         ,NBRC 12912T          ,AY999864,
Streptomyces rubiginosus                ,KCTC 9042T          ,AY999810,
Streptomyces rubinginosohelvosus        ,NBRC 12912T              ,AB184240   ,
Streptomyces rubrogriseus               ,LMG 20318T,AJ781373,
Streptomyces rutgersensis subsp. rutgersensis,DSM 40077T ,Z76688,
Streptomyces salmonis                   ,NBRC 15865T              ,AB184705   ,
Streptomyces sampsonii                  ,DSM 40394T ,Z76680,
Streptomyces samsunensis,DSM 42010T,EU077190,
Streptomyces sanglieri                  ,A5843T         ,AY094363,
Streptomyces sannanensis                ,NRRL B-24303T       ,AY999924,
Streptomyces sanyensis,219820T,FJ261968,
Streptomyces sapporonensis              ,LMG 20324T               ,AJ781378,
Streptomyces scabiei                    ,ATCC 49173T              ,D63862,
Streptomyces scabrisporus               ,KM-4927T                 ,AB030585,
Streptomyces sclerotialus               ,NBRC 12246T              ,AB184071   ,
Streptomyces sedi,YIM 65188T,EU925562,
Streptomyces septatus                   ,NBRC 13471T              ,AB184883   ,
Streptomyces setonii                    ,ATCC 25497T,D63872,
Streptomyces showdoensis                ,NBRC 13417T              ,AB184389   ,
Streptomyces silaceus                   ,NRRL B-24166T            ,EU812170,
Streptomyces sindenensis                ,NBRC 12915T          ,AY999860,
Streptomyces sioyaensis                 ,NRRL B-5408T             ,DQ026654,
Streptomyces sodiiphilus                ,YIM 80305T               ,AY236339,
Streptomyces somaliensis                ,DSM 40738T         ,AJ007403,
Streptomyces sparsogenes                ,NBRC 13086T              ,AB184301   ,
Streptomyces sparsus,YIM 90018T,AJ849545,
Streptomyces specialis                  ,GW 41-1564T,AM934703,
Streptomyces spectabilis                ,NBRC 13424T              ,AB184393   ,
Streptomyces speibonae                  ,PK-BlueT       ,AF452714,
Streptomyces spheroides                 ,NRRL 2449T               ,EF178698,
Streptomyces spinoverrucosus            ,NBRC 14228T              ,AB184578   ,
Streptomyces spiralis                   ,NBRC 14215T              ,AB184575   ,
Streptomyces spiroverticillatus         ,NBRC 3728T               ,AB184796,
Streptomyces spitsbergensis             ,NRRL B-24285T       ,AY999927,
Streptomyces sporocinereus              ,LMG 20311T,AJ781368,
Streptomyces sporoclivatus              ,LMG 20312T               ,AJ781369,
Streptomyces spororaveus                ,LMG 20313T,AJ781370,
Streptomyces sporoverrucosus            ,NRRL B-16379T            ,DQ442544,
Streptomyces stramineus                 ,NBRC 16131T              ,AB184720   ,
Streptomyces subrutilus                 ,DSM 40445T,X80825,
Streptomyces sulfonofaciens             ,NBRC 14260T          ,AB249974,
Streptomyces sulphureus                 ,NRRL B-1627T             ,DQ442546,
Streptomyces synnematoformans          ,S155T,EF121313,
Streptomyces syringium                  ,LMG 20320T,AJ781375,
Streptomyces tacrolimicus,ATCC 55098T,FN429653,
Streptomyces tanashiensis               ,NBRC 12919T              ,AB184245   ,
Streptomyces tateyamensis,NBRC 105048T,AB473555,
Streptomyces tauricus                   ,JCM 4837T,AB045879,
Streptomyces tendae,NBRC 12822T,AB184172,
Streptomyces termitum                   ,NBRC 13087T              ,AB184302   ,
Streptomyces thermoalcalitolerans       ,NBRC 16322T              ,AB249909   ,
Streptomyces thermocarboxydovorans      ,DSM 44296T               ,U94489,
Streptomyces thermocarboxydus           ,DSM 44293T              ,U94490,
Streptomyces thermocoprophilus          ,B19T                     ,AJ007402,
Streptomyces thermodiastaticus          ,DSM 40573T,Z68101,
Streptomyces thermogriseus              ,CCTCC AA97014T,AF056714,
Streptomyces thermolineatus             ,DSM 41451T,Z68097,
Streptomyces thermonitrificans          ,DSM 40579T               ,Z68098,
Streptomyces thermospinosisporus,AT10T          ,AF333113,
Streptomyces thermoviolaceus subsp. thermoviolaceus,DSM 40443T,Z68096,
Streptomyces thermovulgaris             ,DSM 40444T               ,Z68094,
Streptomyces thinghirensis,S10T,FM202482,
Streptomyces torulosus                  ,LMG 20305T,AJ781367,
Streptomyces toxytricini                ,NRRL B-5426T             ,DQ442548,
Streptomyces tricolor                   ,LMG 20328T               ,AJ781380,
Streptomyces tritolerans,DSM 41899T,DQ345779,
Streptomyces tubercidicus               ,DSM 40261T              ,AJ621612,
Streptomyces tuirus                     ,NBRC 15617T              ,AB184690   ,
Streptomyces turgidiscabies             ,ATCC 700248T,AB026221,
Streptomyces umbrinus                   ,NRRL B-2572T             ,DQ442549,
Streptomyces variabilis                 ,NRRL B-3984T             ,DQ442551,
Streptomyces variegatus                 ,LMG 20315T,AJ781371,
Streptomyces varsoviensis               ,NRRL B-3589T             ,DQ026653,
Streptomyces vastus                     ,NRRL B-12232T            ,DQ442552,
Streptomyces venezuelae                 ,ISP 5230T           ,AY999739,
Streptomyces vietnamensis,GIMV4.0001T          ,DQ311081,
Streptomyces vinaceus                   ,NBRC 13425T              ,AB184394,
Streptomyces vinaceusdrappus            ,NRRL 2363T          ,AY999929,
Streptomyces violaceochromogenes        ,NBRC 13100T              ,AB184312   ,
Streptomyces violaceolatus              ,DSM 40438T,AF503497,
Streptomyces violaceorectus             ,NBRC 13102T              ,AB184314,
Streptomyces violaceoruber              ,DSM 40049T,AF503492,
Streptomyces violaceorubidus            ,LMG 20319T,AJ781374,
Streptomyces violaceus                  ,LMG 20257T               ,AJ781755,
Streptomyces violaceusniger             ,NBRC 13459T          ,AB184420,
Streptomyces violarus                   ,ISP 5205T                ,AJ399477,
Streptomyces violascens                 ,NBRC 12920T              ,AB184246   ,
Streptomyces violens                    ,DSM 40597T               ,AJ621605,
Streptomyces virens                     ,NRRL B-24331T            ,DQ442554,
Streptomyces virginiae                  ,NBRC 12827T,D85123,
Streptomyces viridiflavus               ,LMG 20277T               ,AJ781363,
Streptomyces viridobrunneus             ,LMG 20317T,AJ781372,
Streptomyces viridochromogenes          ,NRRL B-1511T             ,DQ442555,
Streptomyces viridodiastaticus          ,NBRC 13106T              ,AB184317   ,
Streptomyces viridosporus               ,NRRL 2414T               ,DQ442556,
Streptomyces vitaminophilus             ,NBRC 14294T          ,AB184589,
Streptomyces wedmorensis                ,NRRL 3426T               ,DQ442557,
Streptomyces wellingtoniae,NRRL B-1503T,EU170124,
Streptomyces werraensis                 ,NRRL B-5317T             ,DQ442558,
Streptomyces willmorei                  ,NRRL B-1332T             ,EF178673,
Streptomyces xanthochromogenes          ,NRRL B-5410T             ,DQ442559,
Streptomyces xanthocidicus              ,NBRC 13469T          ,AY999858,
Streptomyces xantholiticus              ,NBRC 13354T          ,AB184349,
Streptomyces xanthophaeus               ,NRRL B-5414T             ,DQ442560,
Streptomyces xiamenensis                ,MCCC 1A01550T,EF012099,
Streptomyces xinghaiensis,S187T,EF577247,
Streptomyces yanglinensis         ,1307T                    ,AY876940,
Streptomyces yanii                      ,CGMCC 4.1146T              ,AB015854,
Streptomyces yatensis                   ,DSM 41771T        ,AF336800,
Streptomyces yeochonensis               ,CN732T                   ,AF101415,
Streptomyces yerevanensis               ,NBRC 12517T              ,AB184099   ,
Streptomyces yogykartensis              ,NBRC 100779T,AB249942   ,
Streptomyces yokosukanensis             ,NRRL B-3353T             ,DQ026652,
Streptomyces youssoufiensis,DSM 41920T,FN421338,
Streptomyces yunnanensis                ,YIM 41004T         ,AF346818,
Streptomyces zaomyceticus               ,NRRL B-2038T             ,EF178685,
Streptomyces zinciresistens,CCNWNQ 0016T,GU225938,
Catenulispora acidiphila,DSM 44928 ,NR_074457.1 ,
Micrococcus luteus,DSM 20030,NR_037113.1,
Nocardia salmonicida,DSM 4490,NR_041871.1,
, ,,
