taxon,strain,accession,
Streptomyces candidus                   ,NRRL ISP-5141T           ,DQ026663,
Streptomyces caniferus                  ,NRRL B-16358T            ,EF654099,
Streptomyces canus                      ,NRRL B-1989T             ,AY999775,
Streptomyces capillispiralis            ,KCTC 1719T          ,AY999816,
Streptomyces capoamus                 ,JCM 4734T,AB045877,
Streptomyces carpaticus                 ,NRRL B-16359T            ,DQ442494   ,
Streptomyces carpinensis                ,NBRC 14214T              ,AB184574   ,
Streptomyces castelarensis              ,DSM 40830T     ,AY508511,
Streptomyces catenulae                  ,ISP 5258T                ,AY999778,
Streptomyces caviscabies                ,ATCC 51928T,AF112160,
Streptomyces cellostaticus              ,ISP 5189T                ,AY999742,
Streptomyces celluloflavus              ,KCTC 9702T          ,AY999829,
Streptomyces cellulosae                 ,NRRL B-2889T             ,DQ442495   ,
Streptomyces champvatii                 ,NRRL B-5682T             ,DQ026642,
Streptomyces chartreusis                ,NBRC 12753T              ,AB184839   ,
Streptomyces chattanoogensis            ,DSM 40002T                ,AJ621611,
Streptomyces cheonanensis               ,VC-A46T                  ,AY822606,
Streptomyces chibaensis                 ,NRRL B-2904T        ,AY999798,
Streptomyces chrestomyceticus           ,NRRL B-3293T             ,DQ026633,
Streptomyces chromofuscus               ,NBRC 12851T              ,AB184194   ,
Streptomyces chryseus                   ,NRRL B-12347T            ,AY999787,
Streptomyces chrysomallus subsp. chrysomallus,DSM 40128T          ,AY999838,
Streptomyces chrysomallus subsp. fumigatus,NBRC 15394T              ,AB184645   ,
Streptomyces cinereorectus              ,JCM 6916T                ,AY999764,
Streptomyces cinereus                   ,NBRC 12247T              ,AB184072   ,
Streptomyces cinerochromogenes          ,JCM 3385T                ,AY999745,
Streptomyces cinnabarinus               ,ISP 5467T                ,AJ399487,
Streptomyces cinnamonensis              ,JCM 4019T                ,AY999746,
Streptomyces cirratus                   ,NRRL B-3250T        ,AY999794,
Streptomyces ciscaucasicus              ,DSM 40275T               ,AY508512,
Streptomyces clavifer                   ,NBRC 15398T              ,AB184649,
Streptomyces clavuligerus               ,AF1634T                   ,DQ026628,
Streptomyces coelescens                 ,DSM 40421T,AF503496,
Streptomyces coelicoflavus              ,NBRC 15399T              ,AB184650   ,
Streptomyces coelicolor                 ,DSM 40233T,Z76678,
Streptomyces coeruleofuscus             ,NBRC 12757T              ,AB184840   ,
Streptomyces coeruleoprunus             ,NBRC 15400T              ,AB184651   ,
Streptomyces coerulescens,CGMCC 4.1597T,FJ406114,
Streptomyces collinus                   ,DSM 40129T         ,AJ306623,
Streptomyces columbiensis               ,NRRL B-1990T             ,DQ026646,
Streptomyces corchorusii                ,NBRC 13032T              ,AB184267   ,
Streptomyces costaricanus              ,NBRC 100773T             ,AB249939   ,
Streptomyces cremeus                    ,JCM 4362T                ,AY999744,
Streptomyces crystallinus               ,JCM 5067T                ,AB184705   ,
Streptomyces curacoi                    ,NRRL B-2901T             ,EF626595,
Streptomyces cyaneofuscatus             ,JCM 4364T                ,AY999770,
Streptomyces cyaneus                    ,NRRL B-2296T             ,AF346475,
Streptomyces cyanoalbus                 ,NRRL B-3040T             ,AY999789,
Streptomyces deccanensis,KCTC 19241T              ,EF219459,
Streptomyces decoyicus,NRRL 2666T,EU170127,
Streptomyces demainii,NRRL B-1478T,DQ334782,
Streptomyces diastaticus                ,NBRC 3714T               ,AB184785   ,
Streptomyces diastatochromogenes        ,ATCC 12309T,AB026218,
Streptomyces distallicus                ,NRRL 2886T               ,EF178671,
Streptomyces drozdowiczii               ,NBRC 101007T             ,AB249957   ,
Streptomyces durhamensis                ,NRRL B-3309T             ,AY999785,
Streptomyces echinatus                  ,ISP 5013T,AJ399465,
Streptomyces ederensis                  ,KCTC 9726T          ,AY999824,
Streptomyces ehimensis                  ,KCTC 9727T          ,AY999834,
Streptomyces emeiensis                  ,DSM 41884T,DQ462649,
Streptomyces endus                      ,NBRC 12859T ,AB249959   ,
Streptomyces erumpens                   ,DSM 40941T               ,AJ621603,
Streptomyces erythrogriseus             ,NBRC 14601T              ,AB184605,
Streptomyces europaeiscabiei            ,CFBP 4497T               ,AJ007423,
Streptomyces eurythermus                ,ATCC 14975T              ,D63870,
Streptomyces exfoliatus                 ,NRRL B-2494T             ,DQ026647,
Streptomyces felleus                    ,DSM 40130T,Z76681,
Streptomyces filamentosus               ,NBRC 12767T              ,AB184130   ,
Streptomyces filipinensis               ,NBRC 12860T              ,AB184198,
Streptomyces fimbriatus                 ,DSM 40942T          ,AY999844,
Streptomyces fimicarius                 ,ISP 5322T                ,AY999784,
Streptomyces finlayi                    ,NRRL B-12114T       ,AY999788,
Streptomyces flaveolus                  ,NRRL B-1334T             ,EF654098,
Streptomyces flaveus                    ,NRRL B-16074T            ,DQ026643,
Streptomyces flavidovirens        ,NBRC 13039T              ,AB184270   ,
Streptomyces flaviscleroticus           ,NBRC 12998T                  , AB184247   ,
Streptomyces flavofungini               ,NRRL B-12307T            ,AY999792,
Streptomyces flavofuscus                ,NBRC 100768T             ,AB249935,
Streptomyces flavogriseus               ,DSM 40323T,AJ494864,
Streptomyces flavopersicus              ,NBRC 12769T          ,AB249911,
Streptomyces flavotricini               ,NBRC 12770T              ,AB184132   ,
Streptomyces flavovariabilis            ,NRRL B-16367T            ,EF178691,
Streptomyces flavovirens                ,NBRC 12771T              ,AB184133   ,
Streptomyces flavoviridis               ,NBRC 12772T              ,AB184842   ,
Streptomyces flocculus                  ,NRRL B-2465T             ,DQ442498,
Streptomyces floridae                   ,NRRL 2423T          ,AY999916,
Streptomyces fluorescens                ,NRRL B-2873T             ,DQ026639,
Streptomyces fradiae                    ,NRRL B-1195T             ,DQ026630,
Streptomyces fragilis                   ,NRRL 2424T          ,AY999917,
Streptomyces fulvissimus                ,NBRC 3717T               ,AB184787,
Streptomyces fulvorobeus               ,LMG 19901T,AJ781331,
Streptomyces fumanus                    ,NBRC 13042T              ,AB184273   ,
Streptomyces fumigatiscleroticus        ,NRRL B-3856T             ,DQ442499,
Streptomyces galbus                     ,DSM 40089T               ,X79852,
Streptomyces galilaeus                  ,JCM 4757T                ,AB045878,
Streptomyces gancidicus                 ,NBRC 15412T,AB184660   ,
Streptomyces gardneri                   ,NBRC 12865T              ,AB249908   ,
Streptomyces gelaticus                  ,NRRL B-2928T             ,DQ026636,
Streptomyces gibsonii                   ,LMG 19912T               ,AJ781753,
Streptomyces glaucescens                ,NBRC 12774T              ,AB184843   ,
Streptomyces glauciniger                ,FXJ14T                    ,AY314782,
Streptomyces glaucosporus               ,NBRC 15416T          ,AB184664,
Streptomyces glaucus                    ,LMG 19902T,AJ781332,
Streptomyces globisporus subsp. caucasicus,NBRC 100770T             ,AB249937,
Streptomyces globisporus subsp. flavofuscus,NRRL B-8036T             ,DQ026648,
Streptomyces globisporus subsp. globisporus,NRRL B-2872T             ,EF178686,
Streptomyces globosus                   ,LMG 19896T,AJ781330,
Streptomyces glomeratus                ,LMG 19903T               ,AJ781754,
Streptomyces glomeroaurantiacus         ,NRRL B-3375T             ,EF178692,
Streptomyces gobitricini                ,NRRL B-2956T             ,HQ650810,
Streptomyces goshikiensis              ,NRRL B-5428T             ,EF178693,
Streptomyces gougerotii                 ,DSM 40324T,Z76687,
Streptomyces graminearus                ,NBRC 15420T              ,AB184667,
Streptomyces graminofaciens             ,LMG 19892T,AJ781329,
Streptomyces griseiniger                ,NRRL B-1865T,AJ391818,
Streptomyces griseinus                  ,CGMCC 4.1875T          ,AY999891,
Streptomyces griseochromogenes          ,DSM 40499T               ,AJ310923,
Streptomyces griseofuscus              ,KACC 20083T    ,AY207605,
Streptomyces griseoincarnatus           ,NBRC 12871T              ,AB184207   ,
Streptomyces griseoloalbus              ,NBRC 13046T,AB184275   ,
Streptomyces griseolus                  ,NBRC 3415T               ,AB184768,
Streptomyces griseoluteus               ,NBRC 13375T              ,AB184363   ,
Streptomyces griseomycini               ,NBRC 12778T,AB184137   ,
Streptomyces griseoplanus               ,NBRC 12779T              ,AB184138   ,
Streptomyces griseorubens               ,NBRC 12780T,AB184139   ,
Streptomyces griseoruber                ,NBRC 12873T              ,AB184209   ,
Streptomyces griseorubiginosus          ,ISP 5469T                ,AJ399488,
Streptomyces griseosporeus              ,CGMCC 4.1840T          ,AY999873,
Streptomyces griseostramineus           ,NBRC 12781T              ,AB184140   ,
Streptomyces griseoverticillatus        ,CGMCC 4.1842T          ,AY999892,
Streptomyces griseoviridis              ,NBRC 12874T              ,AB184210   ,
Streptomyces griseus subsp. griseus     ,ISP 5236T      ,AY094371,
Streptomyces guanduensis                ,701T                ,AY876942,
Streptomyces gulbargensis,DAS 131T,DQ317411,
Streptomyces hachijoensis               ,NBRC 12782T              ,AB184141   ,
Streptomyces hainanensis                ,YIM 47672T,AM398645,
Streptomyces haliclonae,NBRC 105049T,AB473556,
Streptomyces halstedii                  ,NRRL B-1238T             ,EF178695,
Streptomyces hawaiiensis                ,ISP 5042T                ,AJ399466,
Streptomyces hebeiensis                 ,YIM 001T                 ,AY277529,
Streptomyces heliomycini              ,NBRC 15899T              ,AB184712   ,
Streptomyces helvaticus                 ,NRRL B-12365T            ,DQ442504,
Streptomyces herbaricolor               ,NRRL B-3299T             ,DQ442505,
Streptomyces himastatinicus             ,ATCC 53653T         ,EF408736,
Streptomyces hiroshimensis              ,NRRL B-1823T             ,EF178677,
Streptomyces hirsutus                   ,NBRC 12786T              ,AB184844   ,
Streptomyces humidus subsp. humidus     ,NRRL B-3172T             ,DQ442508,
Streptomyces humiferus                  ,DSM 43030T     ,AF503491,
Streptomyces hyderabadensis,OU-40T,FM998652,
Streptomyces hydrogenans                ,CGMCC 4.1874T          ,AY999898,
Streptomyces hygroscopicus subsp. hygroscopicus              ,NRRL 2387T,AJ391820,
Streptomyces iakyrus                    ,NBRC 13401T              ,AB184877   ,
Streptomyces indiaensis                 ,NBRC 13964T              ,AB184553   ,
Streptomyces indigoferus                ,NBRC 12878T              ,AB184214,
Streptomyces indonesiensis              ,DSM 41759T,AJ391835 ,
Streptomyces intermedius                ,DSM 40372T,Z76686,
Streptomyces inusitatus                 ,NBRC 13601T             ,AB184445   ,
Streptomyces ipomoeae                   ,DSM 40383T          ,AY999840,
Streptomyces iranensis,HM35T,FJ472862,
Streptomyces janthinus                  ,ISP 5206T,AJ399478,
Streptomyces javensis                   ,NBRC 100777T             ,AB249940   ,
Streptomyces jietaisiensis              ,FXJ46T                   ,AY314783,
Streptomyces kanamyceticus              ,NRRL B-2535T             ,DQ442511,
Streptomyces kasugaensis                ,NRRL B-24288T       ,AY999920,
Streptomyces katrae                     ,NRRL B-3093T             ,EF654092,
Streptomyces kentuckensis               ,NRRL B-1831T             ,DQ442512,
Streptomyces kishiwadensis              ,LMG 19939T,AJ781338,
Streptomyces koyangensis                ,VK-A60T                   ,AY079156,
Streptomyces kunmingensis               ,NRRL B-16240T            ,DQ442513,
Streptomyces kurssanovii                ,NBRC 13192T              ,AB184325,
Streptomyces labedae                    ,NBRC 15864T              ,AB184704   ,
Streptomyces laceyi                     ,c7654T         ,AY094367,
Streptomyces lacticiproducens,GIMN4.001T,GQ184344,
Streptomyces lanatus                    ,ISP 5090T,AJ399469,
Streptomyces lateritius                 ,LMG 19372T,AJ781326,
Streptomyces laurentii                  ,LMG 19959T               ,AJ781342,
Streptomyces lavendofoliae              ,LMG 19935T               ,AJ781336,
Streptomyces lavendulae subsp. lavendulae            ,NRRL B-1230T             ,HQ426713,
Streptomyces lavendulae subsp. grasserius,DSM 40385T          ,AY999841,
Streptomyces lavenduligriseus           ,NBRC 13045T              ,AB184382   ,
Streptomyces lavendulocolor             ,NBRC 12881T              ,AB184216   ,
Streptomyces levis                      ,NRRL B-16370T            ,DQ442517,
Streptomyces libani subsp. libani       ,NRRL B-3446T             ,DQ442518,
Streptomyces libani subsp. rufus        ,LMG 20087T               ,AJ781351,
Streptomyces lienomycini                ,NBRC 15425T,AB184672   ,
Streptomyces limosus                    ,DSM 40131T,Z76679,
Streptomyces lincolnensis               ,NRRL 2936T               ,X79854,
Streptomyces lipmanii                   ,NRRL B-2100T             ,DQ442519,
Streptomyces litmocidini                ,NBRC 12792T              ,AB184149,
Streptomyces lomondensis                ,NBRC 15426T              ,AB184673   ,
Streptomyces longisporoflavus           ,NBRC 12886T              ,AB184220   ,
Streptomyces longispororuber            ,NRRL B-3736T             ,DQ442521,
Streptomyces longwoodensis              ,LMG 20096T               ,AJ781356,
Streptomyces lucensis                   ,NBRC 13056T              ,AB184280   ,
Streptomyces lunalinharesii            ,RCQ1071T,DQ094838,
Streptomyces luridiscabiei              ,S63T                     ,AF361784,
Streptomyces luridus                    ,NBRC 12793T              ,AB184150   ,
Streptomyces lusitanus                  ,NBRC 13464T              ,AB184424   ,
Streptomyces luteireticuli              ,NRRL B-12435T            ,HQ650809,
Streptomyces luteogriseus               ,ISP 5483T                ,AJ399490,
Streptomyces luteosporeus               ,NRRL 2401T               ,DQ442525,
Streptomyces luteoverticillatus         ,NBRC 3840T           ,AB184803,
Streptomyces lydicus                    ,ATCC 25470T              ,Y15507,
Streptomyces macrosporus                ,DSM 41449T,Z68099,
Streptomyces malachitofuscus            ,NBRC 13056T ,AB184282   ,
Streptomyces malachitospinus            ,NBRC 101004T             ,AB249954   ,
Streptomyces malaysiensis               ,ATB-11T                  ,AF117304,
Streptomyces marinus,NBRC 105047T,AB473554,
Streptomyces marokkonensis,LMG 23016T,AJ965470 ,
Streptomyces mashuensis                 ,NRRL B-8164T             ,DQ442526,
Streptomyces massasporeus               ,DSM 40035T          ,AY999836,
Streptomyces matensis                   ,NRRL B-2576T             ,EF626596,
Streptomyces mauvecolor                 ,LMG 20100T               ,AJ781358,
Streptomyces mayteni,YIM 60475T,EU200683,
Streptomyces mediolani                  ,LMG 20093T,AJ781354,
Streptomyces megasporus                 ,DSM 41476T,Z68100,
Streptomyces melanosporofaciens         ,NRRL B-12234T,AJ391837,
Streptomyces mexicanus                  ,CH-M-1035T               ,AF441168,
Streptomyces michiganensis              ,NBRC 12797T              ,AB184153   ,
Streptomyces microflavus                ,NRRL 2156T               ,DQ445795,
Streptomyces milbemycinicus,NRRL 5739T,EU170126,
Streptomyces minutiscleroticus          ,NBRC 13361T,AB184351   ,
Streptomyces mirabilis                  ,DSM 40553T          ,AY999730,
Streptomyces misakiensis                ,NBRC 12891T              ,AB184223   ,
Streptomyces misionensis                ,NRRL B-3230T             ,EF178678,
Streptomyces mobaraensis                ,NRRL B-3729T             ,DQ442528,
Streptomyces monomycini                 ,NRRL B-24309T            ,DQ445790,
Streptomyces mordarskii                 ,NRRL B-1346T        ,EF408735,
Streptomyces morookaensis               ,DSM 40503T          ,AY999842,
Streptomyces murinus                    ,NBRC 12799T              ,AB184155   ,
Streptomyces mutabilis                  ,NRRL ISP-5169T           ,EF178679,
Streptomyces mutomycini                 ,LMG 20098T,AJ781357,
Streptomyces naganishii,NRRL B-1816T             ,DQ442529,
Streptomyces nanshensis                 ,SCSIO 01066T,EU589334,
Streptomyces narbonensis                ,NBRC 12801T              ,AB184157   ,
Streptomyces nashvillensis              ,NBRC 13064T              ,AB184286   ,
Streptomyces netropsis                  ,NBRC 3723T               ,AB184792   ,
Streptomyces neyagawaensis              ,ATCC 27449T              ,D63869,
Streptomyces niger                      ,DSM 43049T               ,AJ621607,
Streptomyces nigrescens                 ,NRRL B-12176T            ,DQ442530,
Streptomyces nigrifaciens               ,NRRL B-2094T             ,DQ442531,
Streptomyces nitrosporeus               ,NRRL B-1316T             ,EF178680,
Streptomyces niveiscabiei               ,S78T                     ,AF361786,
Streptomyces niveoruber                 ,NRRL B-2724T             ,DQ445796,
Streptomyces niveus                     ,NRRL 2466T               ,DQ442532,
Streptomyces noboritoensis              ,NBRC 13065T              ,AB184287   ,
Streptomyces nodosus                    ,NRRL B-2371T             ,DQ026661,
Streptomyces nogalater                  ,JCM 4799T               ,AB045886,
Streptomyces nojiriensis                ,KCTC 9784T          ,AY999814,
Streptomyces noursei                    ,NBRC15452T               ,AB184678   ,
Streptomyces novaecaesareae             ,NBRC 13368T          ,AB184357,
Streptomyces ochraceiscleroticus        ,NRRL B-3041T             ,Z76682,
Streptomyces odorifer                   ,DSM 40347T,,
Streptomyces olivaceiscleroticus        ,DSM 40595T               ,AJ621606,
Streptomyces olivaceoviridis            ,NBRC 13066T              ,AB184288   ,
Streptomyces olivaceus                  ,NBRC 12805T              ,AB249920   ,
Streptomyces olivochromogenes           ,DSM 40451T     ,AY094370,
Streptomyces olivoreticuli subsp. cellophilum,NBRC 15929T              ,AB184719   ,
Streptomyces olivoverticillatus         ,NBRC 15273T              ,AB184636   ,
Streptomyces olivoviridis               ,NBRC 12897T              ,AB184227   ,
Streptomyces omiyaensis                 ,NRRL B-1587T             ,EF178697,
Streptomyces orinoci                    ,NBRC 13466T              ,AB184866   ,
Streptomyces ornatus                    ,NBRC 13069T              ,AB184290   ,
Streptomyces osmaniensis ,CCTCC AA209025T,FJ613126,
Streptomyces pactum                     ,NRRL ISP-5530T            ,EF654095,
Streptomyces parvisporogenes            ,NBRC 13907T          ,AY999865,
Streptomyces parvulus                   ,NBRC 13193T          ,AB184326,
Streptomyces parvus                     ,NRRL B-1455T             ,DQ442537,
Streptomyces paucisporeus               ,1413T                    ,AY876943,
Streptomyces peucetius                  ,JCM 9920T      ,AB045887,
Streptomyces phaeochromogenes           ,NBRC 3180T               ,AB184738,
Streptomyces phaeofaciens               ,NRRL B-1516T             ,DQ442539,
Streptomyces phaeogriseichromatogenes   ,NRRL 2834T          ,AJ391813,
Streptomyces phaeoluteigriseus          ,NRRL ISP-5182T            ,AJ391815,
Streptomyces phaeopurpureus             ,NRRL B-2260T             ,DQ026666,
Streptomyces phaeoviridis               ,NRRL B-2258T             ,DQ026665,
Streptomyces pharetrae                  ,CZA14T                    ,AY699792,
Streptomyces pilosus                    ,NBRC 12807T              ,AB184161,
Streptomyces platensis                  ,JCM 4662T,AB045882,
Streptomyces plicatus                   ,NBRC 13071T,AB184291   ,
Streptomyces plumbiresistens ,CCNWHX 13-160T,EU526954,
Streptomyces pluricolorescens           ,NRRL B-2121T             ,DQ442540,
Streptomyces polyantibioticus,DSM 44925T,DQ141528,
Streptomyces polychromogenes            ,NBRC 13072T              ,AB184292   ,
Streptomyces poonensis                  ,NRRL B-2319T             ,DQ445792,
Streptomyces praecox                    ,NBRC 13073T              ,AB184293   ,
Streptomyces prasinopilosus             ,NRRL B-2711T             ,EF626597,
Streptomyces prasinosporus              ,NRRL B-12431T            ,DQ026655,
Streptomyces prasinus                   ,NRRL B-2712T             ,DQ026658,
Streptomyces prunicolor                 ,NRRL B-12281T            ,DQ026659,
Streptomyces psammoticus                ,NBRC 13971T              ,AB184554,
Streptomyces pseudoechinosporeus        ,NBRC 12518T              ,AB184100,
Streptomyces pseudogriseolus            ,NRRL B-3288T             ,DQ442541,
Streptomyces pseudogriseolus subsp. linmyceticus            ,NRRL 3985T ,X80827,
Streptomyces pseudovenezuelae           ,ISP 5212T                ,AJ399481,
Streptomyces pulveraceus                ,LMG 20322T               ,AJ781377,
Streptomyces puniceus                   ,NBRC 12811T              ,AB184163   ,
Streptomyces puniciscabiei              ,S77T                     ,AF361785,
Streptomyces purpeofuscus               ,LMG 20283T               ,AJ781364,
Streptomyces purpurascens               ,DSM 40310T               ,AJ310925,
Streptomyces purpureus                  ,NRRL B-5403T             ,HQ650808,
Streptomyces purpurogeneiscleroticus    ,DSM 43156T               ,AJ621604,
Streptomyces racemochromogenes          ,NRRL B-5430T             ,DQ026656,
Streptomyces radiopugnans,R97T,DQ912930,
Streptomyces rameus                     ,NBRC 15453T              ,AB184679   ,
Streptomyces ramulosus                  ,NRRL B-2714T             ,DQ026662,
Streptomyces rangoonensis               ,NBRC 13078T               ,AY999859,
Streptomyces rapamycinicus              ,NRRL 5491T          ,EF408733,
Streptomyces recifensis                 ,NBRC 12813T              ,AB184165,
Streptomyces rectiverticillatus         ,NRRL B-12369T            ,DQ026657,
Streptomyces rectiviolaceus             ,NRRL B-16374T            ,DQ026660,
